venue,asset,form,instrument_type,symbol,status,volume_24h
binance,AMZN,bstock,spot,AMZNBUSDT,live,144129.21953
binance,GOOGL,bstock,spot,GOOGLBUSDT,live,1745101.17186
binance,META,bstock,spot,METABUSDT,live,434756.0802
binance,AMD,bstock,spot,AMDBUSDT,live,4510893.0991
binance,PLTR,bstock,spot,PLTRBUSDT,live,312310.66512
binance,COIN,bstock,spot,COINBUSDT,live,647810.63862
binance,HOOD,bstock,spot,HOODBUSDT,live,301965.52239
binance,MSTR,bstock,spot,MSTRBUSDT,live,410052.33458
binance,AVGO,bstock,spot,AVGOBUSDT,live,295588.70885
binance,ORCL,bstock,spot,ORCLBUSDT,live,526179.47636
binance,SPY,bstock,spot,SPYBUSDT,live,1537868.44332
binance,QQQ,bstock,spot,QQQBUSDT,live,3271002.79694
binance,CRCL,bstock,spot,CRCLBUSDT,live,22033323.71
binance,TSLA,bstock,spot,TSLABUSDT,live,2713264.25498
binance,NVDA,bstock,spot,NVDABUSDT,live,3589852.96563
binance,AAPL,bstock,spot,AAPLBUSDT,live,662936.06311
binance,MSFT,bstock,spot,MSFTBUSDT,live,270269.46847
binance,AMZN,perp,perp,AMZNUSDT,live,37350286.1289
binance,GOOGL,perp,perp,GOOGLUSDT,live,188376346.9918
binance,META,perp,perp,METAUSDT,live,55074268.9234
binance,AMD,perp,perp,AMDUSDT,live,128404440.4226
binance,PLTR,perp,perp,PLTRUSDT,live,58491875.0439
binance,COIN,perp,perp,COINUSDT,live,27814465.0697
binance,HOOD,perp,perp,HOODUSDT,live,14363166.4733
binance,MSTR,perp,perp,MSTRUSDT,live,64974990.5286
binance,AVGO,perp,perp,AVGOUSDT,live,8605648.7567
binance,ORCL,perp,perp,ORCLUSDT,live,28295891.9866
binance,SPY,perp,perp,SPYUSDT,live,65895214.6232
binance,QQQ,perp,perp,QQQUSDT,live,219437777.5054
binance,CRCL,perp,perp,CRCLUSDT,live,380859437.6161
binance,TSLA,perp,perp,TSLAUSDT,live,76266972.5695
binance,NVDA,perp,perp,NVDAUSDT,live,186496969.7332
binance,AAPL,perp,perp,AAPLUSDT,live,57331218.0885
binance,MSFT,perp,perp,MSFTUSDT,live,60582693.6594
bybit,AMZN,perp,perp,AMZNUSDT,live,3332083.4487
bybit,GOOGL,perp,perp,GOOGLUSDT,live,11706652.7213
bybit,META,perp,perp,METAUSDT,live,3892922.2565
bybit,AMD,perp,perp,AMDSTOCKUSDT,live,7752704.6552
bybit,PLTR,perp,perp,PLTRUSDT,live,4335692.4404
bybit,COIN,perp,perp,COINUSDT,live,2295481.2299
bybit,HOOD,perp,perp,HOODUSDT,live,959717.9335
bybit,MSTR,perp,perp,MSTRUSDT,live,9820257.9593
bybit,AVGO,perp,perp,AVGOUSDT,live,544055.1079
bybit,ORCL,perp,perp,ORCLUSDT,live,1594971.8359
bybit,SPY,perp,perp,SPYUSDT,live,2866991.8499
bybit,QQQ,perp,perp,QQQUSDT,live,9878889.4874
bybit,CRCL,perp,perp,CRCLUSDT,live,25342791.0707
bybit,TSLA,perp,perp,TSLAUSDT,live,7521923.106
bybit,NVDA,perp,perp,NVDAUSDT,live,13062096.0181
bybit,AAPL,perp,perp,AAPLUSDT,live,2812352.5075
bybit,MSFT,perp,perp,MSFTUSDT,live,3587168.8104
bybit,AMZN,xstock_cex,spot,AMZNXUSDT,live,455183.86795
bybit,GOOGL,xstock_cex,spot,GOOGLXUSDT,live,1401119.70087
bybit,META,xstock_cex,spot,METAXUSDT,live,193604.20441
bybit,AMD,xstock_cex,spot,AMDXUSDT,absent,
bybit,PLTR,xstock_cex,spot,PLTRXUSDT,absent,
bybit,COIN,xstock_cex,spot,COINXUSDT,live,1409494.59852
